,date,segment,Flesch-Kincaid Grade Level,Flesch-Kincaid Reading Ease,Gunning Fog Index,SMOG Index,Coleman-Liau Index,Automated Readability Index (ARI)
0,2011-04-27,opening_remark,13.2,40.38,12.49,15.6,12.71,14.5
1,2011-04-27,qa_pair1,9.9,65.15,12.36,11.7,9.41,12.3
2,2011-04-27,qa_pair2,11.4,55.68,13.22,13.6,10.51,13.8
3,2011-04-27,qa_pair3,9.7,60.24,11.29,12.3,9.17,10.6
4,2011-04-27,qa_pair4,8.8,67.99,11.03,10.8,8.47,10.5
5,2011-04-27,qa_pair5,8.2,69.52,9.79,10.4,8.59,9.7
6,2011-04-27,qa_pair6,7.9,70.23,10.05,10.8,8.41,9.6
7,2011-04-27,qa_pair7,12.6,52.53,13.99,14.1,10.45,15.1
8,2011-04-27,qa_pair8,13.0,51.62,14.7,14.0,10.04,15.3
9,2011-04-27,qa_pair9,4.4,79.26,6.56,8.8,8.03,5.9
10,2011-04-27,qa_pair10,12.1,53.95,14.08,13.6,9.12,13.3
11,2011-04-27,qa_pair11,9.8,60.04,11.78,12.7,9.28,10.6
12,2011-04-27,qa_pair12,9.5,65.96,11.64,12.1,9.52,12.4
13,2011-04-27,qa_pair13,10.9,57.1,12.56,13.0,9.7,12.2
14,2011-04-27,qa_pair14,7.9,75.74,11.01,10.4,7.37,10.0
15,2011-04-27,qa_pair15,8.2,69.52,10.59,10.8,9.52,10.6
16,2011-04-27,qa_pair16,10.1,64.44,12.71,12.3,9.41,12.6
17,2011-04-27,qa_pair17,9.9,59.53,11.8,13.1,9.75,11.3
18,2011-04-27,qa_pair18,15.2,40.42,17.21,16.8,11.04,17.0
19,2011-04-27,qa_pair19,13.0,56.93,15.95,13.8,9.88,16.2
20,2011-04-27,qa_pair20,9.4,66.27,11.72,11.8,8.88,11.6
21,2011-04-27,qa_pair21,8.8,67.89,10.57,12.0,8.24,10.1
22,2011-06-22,opening_remark,11.1,51.18,11.66,14.0,11.49,12.6
23,2011-06-22,qa_pair1,7.6,71.04,9.18,10.6,8.58,9.2
24,2011-06-22,qa_pair2,10.6,63.12,12.64,11.7,8.25,12.2
25,2011-06-22,qa_pair3,9.4,61.06,11.75,12.8,9.63,10.6
26,2011-06-22,qa_pair4,8.8,67.79,11.4,10.9,7.66,9.7
27,2011-06-22,qa_pair5,9.4,66.37,11.88,11.5,8.24,10.9
28,2011-06-22,qa_pair6,9.2,61.36,11.79,12.5,9.17,10.1
29,2011-06-22,qa_pair7,10.8,57.2,12.8,13.3,9.93,12.3
30,2011-06-22,qa_pair8,13.2,51.11,14.11,13.9,9.17,14.8
31,2011-06-22,qa_pair9,11.5,60.99,13.76,13.0,10.04,14.9
32,2011-06-22,qa_pair10,9.8,59.84,11.49,12.7,9.11,10.9
33,2011-06-22,qa_pair11,10.1,64.44,12.83,12.3,8.25,11.8
34,2011-06-22,qa_pair12,10.0,64.85,11.91,11.8,8.77,11.9
35,2011-06-22,qa_pair13,7.6,76.56,10.0,10.3,8.3,10.3
36,2011-06-22,qa_pair14,9.7,60.14,11.79,11.9,8.7,10.3
37,2011-06-22,qa_pair15,9.1,61.87,10.6,11.6,8.47,9.5
38,2011-06-22,qa_pair16,10.0,59.43,12.48,13.0,9.05,10.9
39,2011-06-22,qa_pair17,11.4,55.88,12.92,12.1,10.1,13.2
40,2011-11-02,opening_remark,12.5,42.21,11.83,14.8,12.65,13.8
41,2011-11-02,qa_pair1,10.8,57.2,12.74,13.3,9.06,11.7
42,2011-11-02,qa_pair2,11.5,55.58,13.56,13.6,9.46,12.8
43,2011-11-02,qa_pair3,9.3,61.16,10.84,12.5,9.11,10.0
44,2011-11-02,qa_pair4,8.8,67.79,11.35,11.2,10.27,11.9
45,2011-11-02,qa_pair5,9.6,55.13,10.53,12.3,10.96,10.6
46,2011-11-02,qa_pair6,7.0,72.66,9.75,10.7,8.29,8.4
47,2011-11-02,qa_pair7,9.5,60.75,10.65,12.0,8.36,9.6
48,2011-11-02,qa_pair8,12.1,53.95,15.19,14.4,10.33,14.5
49,2011-11-02,qa_pair9,11.6,60.69,14.35,14.3,9.0,14.0
50,2011-11-02,qa_pair10,12.8,52.02,15.51,15.0,9.0,14.0
51,2011-11-02,qa_pair11,8.9,67.69,11.1,10.6,8.24,10.2
52,2011-11-02,qa_pair12,8.1,69.62,11.22,12.0,8.18,9.3
53,2011-11-02,qa_pair13,10.8,62.82,13.99,13.0,8.71,12.9
54,2011-11-02,qa_pair14,9.3,66.67,12.03,12.7,8.12,10.6
55,2011-11-02,qa_pair15,10.2,64.24,12.5,12.8,9.29,12.5
56,2011-11-02,qa_pair16,10.7,57.71,12.81,13.6,9.86,12.4
57,2011-11-02,qa_pair17,10.7,57.71,12.18,13.0,8.88,11.5
58,2011-11-02,qa_pair18,13.5,50.2,14.95,14.8,11.15,16.6
59,2011-11-02,qa_pair19,12.0,54.26,14.51,14.4,11.61,15.2
60,2012-01-25,opening_remark,14.3,37.44,13.4,17.1,13.35,16.4
61,2012-01-25,qa_pair1,12.6,52.53,14.56,13.6,9.12,14.2
62,2012-01-25,qa_pair2,16.0,43.7,18.09,16.6,9.3,18.2
63,2012-01-25,qa_pair3,12.6,52.73,13.97,13.9,9.58,14.4
64,2012-01-25,qa_pair4,13.7,55.2,16.43,14.8,8.48,16.0
65,2012-01-25,qa_pair5,16.2,48.71,18.59,15.5,9.47,20.1
66,2012-01-25,qa_pair6,10.2,64.34,12.86,12.8,7.38,10.9
67,2012-01-25,qa_pair7,15.5,50.54,17.85,14.0,8.31,18.2
68,2012-01-25,qa_pair8,15.4,45.32,17.57,16.0,10.28,18.3
69,2012-01-25,qa_pair9,10.3,63.93,13.59,13.4,8.3,11.9
70,2012-01-25,qa_pair10,12.9,51.92,14.72,14.6,9.46,14.6
71,2012-01-25,qa_pair11,14.9,46.74,17.08,16.5,10.46,17.7
72,2012-01-25,qa_pair12,13.9,54.7,17.08,15.2,8.89,16.7
73,2012-01-25,qa_pair13,13.3,50.7,14.36,14.6,9.76,15.2
74,2012-01-25,qa_pair14,13.6,50.09,15.54,15.5,10.17,15.8
75,2012-01-25,qa_pair15,15.9,44.11,17.75,15.1,9.88,18.4
76,2012-01-25,qa_pair16,9.7,65.56,11.67,12.0,9.0,11.5
77,2012-01-25,qa_pair17,10.6,63.32,12.36,12.3,7.67,11.8
78,2012-01-25,qa_pair18,9.4,66.37,11.98,12.1,7.89,10.6
79,2012-04-25,opening_remark,11.8,44.03,11.87,15.1,12.82,13.0
80,2012-04-25,qa_pair1,10.8,57.3,12.78,12.6,9.46,12.0
81,2012-04-25,qa_pair2,11.6,60.69,13.85,12.9,9.75,14.5
82,2012-04-25,qa_pair3,9.7,60.14,11.37,11.8,9.05,10.4
83,2012-04-25,qa_pair4,12.3,53.44,13.89,13.9,9.23,13.7
84,2012-04-25,qa_pair5,9.6,65.76,11.89,12.6,9.17,11.6
85,2012-04-25,qa_pair6,14.6,52.87,17.57,14.4,8.72,17.4
86,2012-04-25,qa_pair7,10.6,63.22,12.82,11.2,9.87,13.6
87,2012-04-25,qa_pair8,19.0,35.99,20.6,16.7,9.88,22.2
88,2012-04-25,qa_pair9,13.6,50.09,15.56,14.9,10.75,16.2
89,2012-04-25,qa_pair10,11.7,60.48,14.71,13.5,10.04,15.0
90,2012-04-25,qa_pair11,12.3,58.76,15.38,14.0,10.17,15.8
91,2012-04-25,qa_pair12,10.7,57.5,13.18,13.5,9.23,12.0
92,2012-04-25,qa_pair13,10.5,58.11,11.7,12.3,8.76,11.3
93,2012-04-25,qa_pair14,10.3,64.14,12.79,12.5,10.28,13.6
94,2012-04-25,qa_pair15,12.5,52.94,15.38,14.6,9.75,14.3
95,2012-04-25,qa_pair16,6.7,73.47,8.96,10.6,8.46,8.2
96,2012-04-25,qa_pair17,9.4,66.37,11.28,11.7,8.65,11.2
97,2012-04-25,qa_pair18,9.2,61.56,10.34,11.5,8.41,9.6
98,2012-04-25,qa_pair19,10.2,64.34,12.37,12.0,8.48,12.1
99,2012-06-20,opening_remark,13.8,38.76,13.86,16.1,13.29,15.6
100,2012-06-20,qa_pair1,10.0,59.33,11.61,12.6,9.05,11.0
101,2012-06-20,qa_pair2,8.8,62.58,10.73,11.5,9.92,10.2
102,2012-06-20,qa_pair3,10.0,59.43,11.33,12.7,9.75,11.4
103,2012-06-20,qa_pair4,12.7,52.43,15.86,14.4,9.35,14.2
104,2012-06-20,qa_pair5,10.3,58.52,11.47,12.3,9.4,11.7
105,2012-06-20,qa_pair6,7.2,77.47,9.93,9.3,5.51,7.5
106,2012-06-20,qa_pair7,9.1,67.18,12.18,12.3,9.05,11.4
107,2012-06-20,qa_pair8,8.8,62.48,10.99,12.6,10.73,10.9
108,2012-06-20,qa_pair9,9.8,65.25,12.39,12.6,8.88,11.8
109,2012-06-20,qa_pair10,11.1,61.9,14.01,12.3,9.06,13.5
110,2012-06-20,qa_pair11,9.5,65.96,12.23,11.5,8.82,11.7
111,2012-06-20,qa_pair12,9.7,60.24,10.97,12.1,9.92,11.2
112,2012-06-20,qa_pair13,15.0,51.65,17.43,13.6,8.08,17.6
113,2012-06-20,qa_pair14,7.4,71.44,9.4,10.5,6.96,7.7
114,2012-06-20,qa_pair15,13.4,50.6,15.07,14.0,9.24,14.9
115,2012-06-20,qa_pair16,19.3,40.69,21.64,15.2,8.2,22.7
116,2012-06-20,qa_pair17,10.6,63.32,12.47,12.6,8.13,12.0
117,2012-06-20,qa_pair18,5.2,82.75,6.89,7.6,5.5,5.5
118,2012-06-20,qa_pair19,10.3,64.14,13.39,13.3,8.77,12.1
119,2012-06-20,qa_pair20,7.6,70.94,10.14,11.1,7.71,8.5
120,2012-06-20,qa_pair21,8.4,63.49,10.08,11.2,9.34,9.4
121,2012-06-20,qa_pair22,8.8,62.48,11.15,12.2,9.97,10.2
122,2012-06-20,qa_pair23,7.2,72.05,9.12,10.6,7.07,7.4
123,2012-09-13,opening_remark,12.5,47.42,13.11,15.5,12.54,15.0
124,2012-09-13,qa_pair1,9.0,67.28,10.97,11.5,7.49,10.0
125,2012-09-13,qa_pair2,9.1,67.08,12.63,12.5,7.78,10.2
126,2012-09-13,qa_pair3,7.9,75.64,10.38,11.2,7.43,9.9
127,2012-09-13,qa_pair4,9.4,60.95,10.7,12.3,9.17,10.3
128,2012-09-13,qa_pair5,10.7,62.92,12.65,12.3,7.96,12.1
129,2012-09-13,qa_pair6,10.3,58.62,12.92,12.6,10.21,12.3
130,2012-09-13,qa_pair7,10.8,62.82,12.46,11.3,8.65,12.8
131,2012-09-13,qa_pair8,10.5,58.11,12.74,13.0,10.85,13.3
132,2012-09-13,qa_pair9,8.9,67.59,11.72,12.0,7.6,9.9
133,2012-09-13,qa_pair10,11.8,60.18,13.89,11.8,8.94,14.3
134,2012-09-13,qa_pair11,13.6,50.09,15.84,14.6,9.12,14.9
135,2012-09-13,qa_pair12,10.0,64.75,12.75,12.3,7.67,11.0
136,2012-09-13,qa_pair13,10.9,57.1,12.3,12.9,10.1,12.6
137,2012-09-13,qa_pair14,8.4,74.22,11.79,11.9,7.32,10.3
138,2012-09-13,qa_pair15,10.2,64.24,12.37,11.8,7.49,11.2
139,2012-09-13,qa_pair16,9.4,71.78,12.31,12.4,7.09,11.2
140,2012-09-13,qa_pair17,16.0,43.8,18.33,16.1,10.98,19.5
141,2012-09-13,qa_pair18,9.9,64.95,11.55,11.4,7.84,11.1
142,2012-09-13,qa_pair19,13.1,56.83,15.83,14.3,8.43,15.3
143,2012-09-13,qa_pair20,8.3,74.73,10.9,11.0,6.67,9.9
144,2012-09-13,qa_pair21,10.2,58.82,11.2,12.4,10.21,12.1
145,2012-12-12,opening_remark,16.1,32.67,15.55,18.2,14.17,19.1
146,2012-12-12,qa_pair1,10.4,63.63,12.65,13.1,9.06,12.7
147,2012-12-12,qa_pair2,12.0,54.15,13.57,13.8,10.62,14.4
148,2012-12-12,qa_pair3,11.3,61.29,13.38,13.0,8.48,13.3
149,2012-12-12,qa_pair4,10.0,64.85,12.1,12.0,8.94,12.0
150,2012-12-12,qa_pair5,9.7,65.66,11.81,11.4,8.54,11.2
151,2012-12-12,qa_pair6,11.9,59.87,14.59,13.8,9.41,14.8
152,2012-12-12,qa_pair7,13.0,51.72,16.17,15.2,10.86,15.8
153,2012-12-12,qa_pair8,10.2,64.24,12.78,13.0,8.94,12.2
154,2012-12-12,qa_pair9,12.3,53.34,14.37,14.6,9.17,13.6
155,2012-12-12,qa_pair10,14.0,48.98,16.01,14.8,10.34,16.5
156,2012-12-12,qa_pair11,9.2,66.88,12.25,11.8,9.46,11.8
157,2012-12-12,qa_pair12,12.6,47.32,14.27,14.6,11.26,14.3
158,2012-12-12,qa_pair13,9.8,60.04,10.49,12.4,8.18,9.9
159,2012-12-12,qa_pair14,10.3,58.62,11.13,12.2,9.11,11.3
160,2012-12-12,qa_pair15,13.6,49.99,15.33,14.6,9.12,15.2
161,2012-12-12,qa_pair16,5.6,81.53,8.25,9.3,6.78,7.2
162,2012-12-12,qa_pair17,6.0,80.72,8.69,10.3,7.71,8.0
163,2012-12-12,qa_pair18,8.9,67.59,11.1,11.1,8.82,10.9
164,2012-12-12,qa_pair19,11.4,55.68,13.39,12.9,9.35,12.7
165,2012-12-12,qa_pair20,11.4,55.88,12.41,12.8,9.7,12.9
166,2012-12-12,qa_pair21,12.6,58.05,14.45,12.6,9.12,15.3
167,2013-03-20,opening_remark,12.1,48.54,12.64,15.3,12.54,14.4
168,2013-03-20,qa_pair1,12.7,52.33,15.19,14.6,10.91,15.6
169,2013-03-20,qa_pair2,10.8,62.61,13.2,12.9,9.23,13.5
170,2013-03-20,qa_pair3,9.0,67.49,10.8,11.0,7.37,9.7
171,2013-03-20,qa_pair4,8.7,68.2,10.98,11.5,8.07,10.0
172,2013-03-20,qa_pair5,6.1,80.41,9.07,9.8,6.84,7.4
173,2013-03-20,qa_pair6,9.5,60.75,11.15,11.9,8.59,9.9
174,2013-03-20,qa_pair7,6.8,78.59,8.87,9.7,5.28,7.1
175,2013-03-20,qa_pair8,8.8,67.79,10.68,11.2,8.65,10.7
176,2013-03-20,qa_pair9,10.7,57.5,12.84,12.7,10.21,12.8
177,2013-03-20,qa_pair10,6.1,75.0,8.81,9.8,6.83,6.5
178,2013-03-20,qa_pair11,10.1,59.03,11.76,12.0,7.95,10.1
179,2013-03-20,qa_pair12,9.2,66.98,11.34,12.0,9.34,11.7
180,2013-03-20,qa_pair13,9.8,65.35,11.75,12.0,7.72,10.8
181,2013-03-20,qa_pair14,6.9,72.87,9.53,11.1,6.72,7.2
182,2013-03-20,qa_pair15,8.4,69.01,10.78,10.5,8.12,9.6
183,2013-03-20,qa_pair16,9.9,70.57,12.83,11.6,7.09,11.8
184,2013-03-20,qa_pair17,9.7,65.66,11.79,11.4,6.97,10.2
185,2013-03-20,qa_pair18,9.7,65.56,11.58,11.9,8.54,11.4
186,2013-03-20,qa_pair19,10.6,63.22,12.98,12.6,8.07,12.0
187,2013-03-20,qa_pair20,11.1,61.8,14.68,13.8,8.36,13.0
188,2013-06-19,opening_remark,13.0,46.3,12.93,15.8,12.13,15.2
189,2013-06-19,qa_pair1,9.5,66.07,11.41,11.5,7.83,10.9
190,2013-06-19,qa_pair2,8.9,67.69,11.51,12.0,8.65,10.7
191,2013-06-19,qa_pair3,8.2,69.52,10.72,11.6,8.53,9.8
192,2013-06-19,qa_pair4,11.3,61.5,14.45,13.7,8.77,13.5
193,2013-06-19,qa_pair5,8.5,68.6,11.56,11.2,8.24,9.8
194,2013-06-19,qa_pair6,9.7,65.56,11.2,10.4,8.01,11.1
195,2013-06-19,qa_pair7,10.5,58.11,11.32,12.7,9.11,11.6
196,2013-06-19,qa_pair8,11.9,59.77,14.88,13.3,8.42,14.0
197,2013-06-19,qa_pair9,9.0,67.38,11.15,11.4,7.95,10.3
198,2013-06-19,qa_pair10,7.1,77.77,9.12,10.3,6.09,7.8
199,2013-06-19,qa_pair11,9.2,66.78,12.28,12.1,7.83,10.5
200,2013-06-19,qa_pair12,12.1,59.37,13.86,13.0,9.18,14.7
201,2013-06-19,qa_pair13,10.3,69.45,13.24,11.7,7.96,13.2
202,2013-06-19,qa_pair14,7.9,70.23,10.16,11.2,7.42,8.8
203,2013-06-19,qa_pair15,9.9,64.95,11.64,12.1,8.19,11.4
204,2013-06-19,qa_pair16,8.8,67.79,10.68,11.0,7.83,9.9
205,2013-06-19,qa_pair17,8.6,68.4,10.36,12.0,8.18,10.0
206,2013-06-19,qa_pair18,11.8,59.98,14.69,13.2,8.36,13.9
207,2013-09-18,opening_remark,12.4,47.72,12.38,15.6,12.36,14.8
208,2013-09-18,qa_pair1,11.1,61.9,12.16,12.5,8.71,13.2
209,2013-09-18,qa_pair2,12.5,52.94,14.63,14.2,9.06,13.6
210,2013-09-18,qa_pair3,9.0,67.28,10.95,11.1,8.18,10.4
211,2013-09-18,qa_pair4,5.4,82.14,7.73,8.5,5.68,5.8
212,2013-09-18,qa_pair5,12.4,53.24,14.57,13.6,7.9,12.5
213,2013-09-18,qa_pair6,10.0,64.85,12.73,13.0,9.12,12.3
214,2013-09-18,qa_pair7,14.4,53.38,17.17,14.7,8.72,17.1
215,2013-09-18,qa_pair8,12.3,58.76,14.94,14.4,9.24,15.1
216,2013-09-18,qa_pair9,10.4,58.32,12.19,13.2,9.28,11.6
217,2013-09-18,qa_pair10,10.8,57.3,12.27,13.3,9.06,11.7
218,2013-09-18,qa_pair11,10.9,62.41,12.98,12.4,8.13,12.6
219,2013-09-18,qa_pair12,11.9,54.36,13.57,14.1,9.46,13.4
220,2013-09-18,qa_pair13,12.4,53.24,13.95,13.0,9.0,13.5
221,2013-09-18,qa_pair14,17.2,40.65,19.61,15.9,9.47,19.8
222,2013-09-18,qa_pair15,10.4,63.63,13.5,13.3,7.9,11.8
223,2013-09-18,qa_pair16,12.0,48.84,13.7,13.8,10.22,12.6
224,2013-09-18,qa_pair17,4.7,78.65,8.01,9.4,7.46,5.6
225,2013-09-18,qa_pair18,7.4,71.55,9.48,10.0,7.48,8.0
226,2013-09-18,qa_pair19,9.9,65.05,11.99,12.4,8.3,11.5
227,2013-09-18,qa_pair20,10.1,59.13,10.88,11.9,9.81,11.6
228,2013-12-18,opening_remark,13.4,39.77,12.2,15.2,13.0,14.9
229,2013-12-18,qa_pair1,9.9,65.15,12.46,12.1,7.32,10.4
230,2013-12-18,qa_pair2,9.4,61.06,10.59,12.2,8.47,9.6
231,2013-12-18,qa_pair3,7.8,70.43,9.98,10.0,7.31,8.4
232,2013-12-18,qa_pair4,10.8,57.4,12.14,13.3,9.17,11.9
233,2013-12-18,qa_pair5,8.0,70.02,9.97,10.9,7.6,8.8
234,2013-12-18,qa_pair6,11.9,59.77,14.12,12.8,8.48,14.2
235,2013-12-18,qa_pair7,9.3,66.67,11.37,11.2,7.89,10.5
236,2013-12-18,qa_pair8,4.3,74.15,6.99,7.8,9.26,7.5
237,2013-12-18,qa_pair9,8.6,68.4,11.54,12.2,8.3,10.1
238,2013-12-18,qa_pair10,10.4,58.42,11.73,13.0,9.28,11.5
239,2013-12-18,qa_pair11,8.6,68.5,11.01,12.0,8.18,9.7
240,2013-12-18,qa_pair12,8.8,67.89,11.5,12.4,8.01,9.9
241,2013-12-18,qa_pair13,8.5,63.19,9.46,11.2,8.58,9.1
242,2013-12-18,qa_pair14,9.0,67.49,10.59,10.9,7.02,9.6
243,2013-12-18,qa_pair15,11.7,60.48,13.14,12.1,8.25,13.6
244,2013-12-18,qa_pair16,9.9,65.05,12.15,12.3,8.54,11.6
245,2013-12-18,qa_pair17,7.7,70.84,9.23,10.2,7.48,8.6
246,2013-12-18,qa_pair18,8.9,67.59,10.8,11.3,7.95,10.3
247,2013-12-18,qa_pair19,13.8,49.38,14.97,14.8,9.24,15.4
248,2013-12-18,qa_pair20,9.8,65.25,11.52,11.3,7.67,10.8
249,2013-12-18,qa_pair21,10.5,58.21,11.49,13.1,8.99,11.4
250,2013-12-18,qa_pair22,10.1,64.64,12.89,12.3,8.3,11.5
251,2013-12-18,qa_pair23,14.1,48.77,15.16,14.0,9.35,15.8
252,2014-03-19,opening_remark,14.8,36.02,13.51,16.5,13.0,16.8
253,2014-03-19,qa_pair1,10.9,62.41,12.83,12.7,8.48,12.6
254,2014-03-19,qa_pair2,11.8,60.18,13.59,13.3,8.36,13.7
255,2014-03-19,qa_pair3,10.6,63.12,13.24,13.1,8.88,12.8
256,2014-03-19,qa_pair4,11.0,62.11,13.09,12.8,8.48,12.9
257,2014-03-19,qa_pair5,12.5,58.35,15.55,13.6,8.08,14.3
258,2014-03-19,qa_pair6,17.8,39.13,18.7,16.1,10.52,21.1
259,2014-03-19,qa_pair7,6.8,78.48,9.23,9.6,6.96,8.4
260,2014-03-19,qa_pair8,11.4,61.09,13.96,13.8,8.65,13.4
261,2014-03-19,qa_pair9,9.5,65.96,11.03,11.6,8.53,11.3
262,2014-03-19,qa_pair10,11.8,60.18,14.72,13.8,8.25,13.6
263,2014-03-19,qa_pair11,21.5,34.9,25.38,18.1,9.59,26.6
264,2014-03-19,qa_pair12,10.4,63.83,12.23,11.2,7.67,11.4
265,2014-03-19,qa_pair13,8.6,73.71,12.36,12.1,6.91,10.2
266,2014-03-19,qa_pair14,7.2,72.05,9.4,10.0,7.77,8.2
267,2014-03-19,qa_pair15,13.8,55.0,16.0,13.6,7.85,15.5
268,2014-06-18,opening_remark,15.0,35.51,14.4,17.1,13.23,17.3
269,2014-06-18,qa_pair1,11.7,54.86,12.58,14.1,9.06,12.8
270,2014-06-18,qa_pair2,10.6,63.32,13.3,12.8,8.88,12.7
271,2014-06-18,qa_pair3,12.2,53.65,13.77,13.5,9.0,13.3
272,2014-06-18,qa_pair4,12.7,52.43,14.65,14.2,8.94,13.9
273,2014-06-18,qa_pair5,9.7,65.66,12.54,13.1,9.35,11.8
274,2014-06-18,qa_pair6,10.9,62.51,13.03,12.2,8.19,12.5
275,2014-06-18,qa_pair7,10.2,58.82,12.16,12.9,9.34,11.5
276,2014-06-18,qa_pair8,13.7,49.79,16.13,14.9,10.11,15.9
277,2014-06-18,qa_pair9,9.2,72.29,11.59,11.5,7.67,11.5
278,2014-06-18,qa_pair10,12.2,53.75,13.61,15.1,10.8,14.6
279,2014-06-18,qa_pair11,13.0,51.52,15.96,15.3,10.74,15.8
280,2014-06-18,qa_pair12,11.1,56.49,12.09,12.7,9.35,12.3
281,2014-06-18,qa_pair13,8.6,68.5,10.57,11.2,7.25,9.1
282,2014-06-18,qa_pair14,10.2,64.24,11.54,11.2,8.48,12.0
283,2014-06-18,qa_pair15,10.7,63.02,13.49,13.2,8.36,12.5
284,2014-06-18,qa_pair16,6.9,78.18,10.4,10.4,6.91,8.2
285,2014-09-17,opening_remark,13.5,44.88,13.49,15.8,11.9,15.7
286,2014-09-17,qa_pair1,12.6,52.73,13.86,14.3,9.46,14.2
287,2014-09-17,qa_pair2,12.0,59.57,13.95,13.9,9.23,14.8
288,2014-09-17,qa_pair3,9.8,59.84,11.96,12.5,10.15,11.5
289,2014-09-17,qa_pair4,12.1,59.26,14.5,14.1,9.53,14.8
290,2014-09-17,qa_pair5,10.9,62.41,13.58,13.4,9.23,13.3
291,2014-09-17,qa_pair6,10.3,58.62,11.55,12.2,9.86,11.9
292,2014-09-17,qa_pair7,8.8,67.99,11.66,12.1,9.34,10.9
293,2014-09-17,qa_pair8,9.1,67.08,10.94,11.2,8.7,10.8
294,2014-09-17,qa_pair9,9.6,60.35,11.1,12.4,8.18,9.5
295,2014-09-17,qa_pair10,12.7,52.43,13.72,13.1,9.35,14.1
296,2014-09-17,qa_pair11,9.0,67.49,9.35,10.0,8.01,10.2
297,2014-09-17,qa_pair12,14.3,53.48,17.74,14.8,9.82,18.0
298,2014-12-17,opening_remark,13.0,46.3,12.89,15.4,11.9,15.0
299,2014-12-17,qa_pair1,11.3,55.98,12.09,12.9,9.75,12.7
300,2014-12-17,qa_pair2,7.4,71.55,9.4,11.6,7.25,7.6
301,2014-12-17,qa_pair3,10.3,58.52,11.83,13.1,10.15,12.3
302,2014-12-17,qa_pair4,8.8,67.89,11.74,12.5,9.17,10.8
303,2014-12-17,qa_pair5,10.7,62.92,12.7,13.2,9.29,13.2
304,2014-12-17,qa_pair6,10.9,57.0,12.58,13.5,9.7,12.4
305,2014-12-17,qa_pair7,9.9,65.15,11.98,12.8,8.13,11.2
306,2014-12-17,qa_pair8,11.1,56.59,12.29,13.9,10.68,13.3
307,2014-12-17,qa_pair9,10.5,58.21,11.82,12.6,8.76,11.1
308,2014-12-17,qa_pair10,10.7,57.5,12.52,13.6,9.52,11.9
309,2014-12-17,qa_pair11,11.2,56.29,12.32,13.3,9.41,12.3
310,2014-12-17,qa_pair12,6.6,73.58,8.8,10.5,8.52,8.2
311,2014-12-17,qa_pair13,7.5,76.76,9.67,9.9,8.18,10.0
312,2014-12-17,qa_pair14,14.0,49.08,15.51,15.5,10.05,16.1
313,2014-12-17,qa_pair15,7.6,71.14,10.12,10.6,8.23,8.9
