date,unemployment_rate
1/1/09,7.8
2/1/09,8.3
3/1/09,8.7
4/1/09,9
5/1/09,9.4
6/1/09,9.5
7/1/09,9.5
8/1/09,9.6
9/1/09,9.8
10/1/09,10
11/1/09,9.9
12/1/09,9.9
1/1/10,9.8
2/1/10,9.8
3/1/10,9.9
4/1/10,9.9
5/1/10,9.6
6/1/10,9.4
7/1/10,9.4
8/1/10,9.5
9/1/10,9.5
10/1/10,9.4
11/1/10,9.8
12/1/10,9.3
1/1/11,9.1
2/1/11,9
3/1/11,9
4/1/11,9.1
5/1/11,9
6/1/11,9.1
7/1/11,9
8/1/11,9
9/1/11,9
10/1/11,8.8
11/1/11,8.6
12/1/11,8.5
1/1/12,8.3
2/1/12,8.3
3/1/12,8.2
4/1/12,8.2
5/1/12,8.2
6/1/12,8.2
7/1/12,8.2
8/1/12,8.1
9/1/12,7.8
10/1/12,7.8
11/1/12,7.7
12/1/12,7.9
1/1/13,8
2/1/13,7.7
3/1/13,7.5
4/1/13,7.6
5/1/13,7.5
6/1/13,7.5
7/1/13,7.3
8/1/13,7.2
9/1/13,7.2
10/1/13,7.2
11/1/13,6.9
12/1/13,6.7
1/1/14,6.6
2/1/14,6.7
3/1/14,6.7
4/1/14,6.2
5/1/14,6.3
6/1/14,6.1
7/1/14,6.2
8/1/14,6.1
9/1/14,5.9
10/1/14,5.7
11/1/14,5.8
12/1/14,5.6
1/1/15,5.7
2/1/15,5.5
3/1/15,5.4
4/1/15,5.4
5/1/15,5.6
6/1/15,5.3
7/1/15,5.2
8/1/15,5.1
9/1/15,5
10/1/15,5
11/1/15,5.1
12/1/15,5
1/1/16,4.8
2/1/16,4.9
3/1/16,5
4/1/16,5.1
5/1/16,4.8
6/1/16,4.9
7/1/16,4.8
8/1/16,4.9
9/1/16,5
10/1/16,4.9
11/1/16,4.7
12/1/16,4.7
1/1/17,4.7
2/1/17,4.6
3/1/17,4.4
4/1/17,4.4
5/1/17,4.4
6/1/17,4.3
7/1/17,4.3
8/1/17,4.4
9/1/17,4.3
10/1/17,4.2
11/1/17,4.2
12/1/17,4.1
1/1/18,4
2/1/18,4.1
3/1/18,4
4/1/18,4
5/1/18,3.8
6/1/18,4
7/1/18,3.8
8/1/18,3.8
9/1/18,3.7
10/1/18,3.8
11/1/18,3.8
12/1/18,3.9
1/1/19,4
2/1/19,3.8
3/1/19,3.8
4/1/19,3.6
5/1/19,3.7
6/1/19,3.6
7/1/19,3.7
8/1/19,3.7
9/1/19,3.5
10/1/19,3.6
11/1/19,3.6
12/1/19,3.6
1/1/20,3.5
2/1/20,3.5
3/1/20,4.4
4/1/20,14.7
5/1/20,13.2
6/1/20,11
7/1/20,10.2
8/1/20,8.4
9/1/20,7.9
10/1/20,6.9
11/1/20,6.7
12/1/20,6.7
1/1/21,6.3
2/1/21,6.2
3/1/21,6.1
4/1/21,6.1
5/1/21,5.8
6/1/21,5.9
7/1/21,5.4
8/1/21,5.2
9/1/21,4.8
10/1/21,4.5
11/1/21,4.2
12/1/21,3.9
1/1/22,4
2/1/22,3.8
3/1/22,3.6
4/1/22,3.6
5/1/22,3.6
6/1/22,3.6
7/1/22,3.5
8/1/22,3.7
9/1/22,3.5
10/1/22,3.7
11/1/22,3.6
12/1/22,3.5
1/1/23,3.4
2/1/23,3.6
3/1/23,3.5
4/1/23,3.4
5/1/23,3.7